event_id,game_session_id,user_id,game_id,event_type,event_ts
ge_000012831_s,g_000012831,u_001735,fortnite,game_session_started,2025-01-01 09:44:37
ge_000012831_e,g_000012831,u_001735,fortnite,game_session_ended,2025-01-01 10:27:37
ge_000015261_s,g_000015261,u_001827,fortnite,game_session_started,2025-01-01 10:41:10
ge_000002069_s,g_000002069,u_000488,apex,game_session_started,2025-01-01 10:51:18
ge_000015261_e,g_000015261,u_001827,fortnite,game_session_ended,2025-01-01 11:12:10
ge_000003896_s,g_000003896,u_000906,fortnite,game_session_started,2025-01-01 11:12:52
ge_000003896_e,g_000003896,u_000906,fortnite,game_session_ended,2025-01-01 11:16:52
ge_000014923_s,g_000014923,u_000393,fortnite,game_session_started,2025-01-01 11:23:10
ge_000000190_s,g_000000190,u_000086,league,game_session_started,2025-01-01 11:23:36
ge_000006481_s,g_000006481,u_000337,tft,game_session_started,2025-01-01 11:40:24
ge_000015521_s,g_000015521,u_001164,minecraft,game_session_started,2025-01-01 11:43:11
ge_000008623_s,g_000008623,u_001550,tft,game_session_started,2025-01-01 11:43:40
ge_000014923_e,g_000014923,u_000393,fortnite,game_session_ended,2025-01-01 11:49:10
ge_000002069_e,g_000002069,u_000488,apex,game_session_ended,2025-01-01 11:50:18
ge_000015521_e,g_000015521,u_001164,minecraft,game_session_ended,2025-01-01 11:59:11
ge_000001705_s,g_000001705,u_000483,cs2,game_session_started,2025-01-01 12:07:01
ge_000000190_e,g_000000190,u_000086,league,game_session_ended,2025-01-01 12:08:36
ge_000020492_s,g_000020492,u_001092,fortnite,game_session_started,2025-01-01 12:29:36
ge_000001705_e,g_000001705,u_000483,cs2,game_session_ended,2025-01-01 12:38:01
ge_000006481_e,g_000006481,u_000337,tft,game_session_ended,2025-01-01 12:40:24
ge_000008623_e,g_000008623,u_001550,tft,game_session_ended,2025-01-01 12:41:40
ge_000002669_s,g_000002669,u_001897,minecraft,game_session_started,2025-01-01 12:42:19
ge_000004731_s,g_000004731,u_000927,cs2,game_session_started,2025-01-01 12:49:14
ge_000004731_e,g_000004731,u_000927,cs2,game_session_ended,2025-01-01 12:51:14
ge_000005201_s,g_000005201,u_000035,apex,game_session_started,2025-01-01 13:02:16
ge_000004064_s,g_000004064,u_001740,minecraft,game_session_started,2025-01-01 13:06:35
ge_000009731_s,g_000009731,u_000734,minecraft,game_session_started,2025-01-01 13:07:08
ge_000008491_s,g_000008491,u_000752,tft,game_session_started,2025-01-01 13:08:27
ge_000009731_e,g_000009731,u_000734,minecraft,game_session_ended,2025-01-01 13:09:08
ge_000005201_e,g_000005201,u_000035,apex,game_session_ended,2025-01-01 13:17:16
ge_000002669_e,g_000002669,u_001897,minecraft,game_session_ended,2025-01-01 13:17:19
ge_000001468_s,g_000001468,u_001044,cs2,game_session_started,2025-01-01 13:19:02
ge_000020492_e,g_000020492,u_001092,fortnite,game_session_ended,2025-01-01 13:22:36
ge_000016112_s,g_000016112,u_001347,apex,game_session_started,2025-01-01 13:25:07
ge_000016112_e,g_000016112,u_001347,apex,game_session_ended,2025-01-01 13:27:07
ge_000005286_s,g_000005286,u_000454,cs2,game_session_started,2025-01-01 13:28:56
ge_000004064_e,g_000004064,u_001740,minecraft,game_session_ended,2025-01-01 13:32:35
ge_000004443_s,g_000004443,u_001941,league,game_session_started,2025-01-01 13:38:08
ge_000018863_s,g_000018863,u_001396,valorant,game_session_started,2025-01-01 13:38:15
ge_000011980_s,g_000011980,u_000308,valorant,game_session_started,2025-01-01 13:39:49
ge_000011739_s,g_000011739,u_000193,minecraft,game_session_started,2025-01-01 13:40:17
ge_000008491_e,g_000008491,u_000752,tft,game_session_ended,2025-01-01 13:40:27
ge_000006652_s,g_000006652,u_000029,cs2,game_session_started,2025-01-01 13:40:50
ge_000008498_s,g_000008498,u_001035,cs2,game_session_started,2025-01-01 13:42:49
ge_000001468_e,g_000001468,u_001044,cs2,game_session_ended,2025-01-01 13:46:02
ge_000001995_s,g_000001995,u_001050,minecraft,game_session_started,2025-01-01 13:49:12
