user_id,signup_ts,country,signup_platform
u_000000,2025-01-06 00:00:00,FR,mobile
u_000001,2025-02-16 00:00:00,US,desktop
u_000002,2025-02-09 00:00:00,GB,web
u_000003,2025-01-27 00:00:00,IN,mobile
u_000004,2025-01-26 00:00:00,CA,desktop
u_000005,2025-02-21 00:00:00,BR,mobile
u_000006,2025-01-06 00:00:00,IN,mobile
u_000007,2025-02-11 00:00:00,BR,desktop
u_000008,2025-01-13 00:00:00,CA,desktop
u_000009,2025-01-06 00:00:00,KR,mobile
u_000010,2025-02-01 00:00:00,IN,desktop
u_000011,2025-02-28 00:00:00,GB,desktop
u_000012,2025-02-14 00:00:00,BR,desktop
u_000013,2025-02-15 00:00:00,MX,desktop
u_000014,2025-02-13 00:00:00,KR,desktop
u_000015,2025-02-17 00:00:00,GB,mobile
u_000016,2025-01-31 00:00:00,IN,desktop
u_000017,2025-01-08 00:00:00,CA,desktop
u_000018,2025-02-20 00:00:00,CA,mobile
u_000019,2025-01-28 00:00:00,IN,desktop
u_000020,2025-01-31 00:00:00,GB,mobile
u_000021,2025-01-23 00:00:00,KR,desktop
u_000022,2025-01-11 00:00:00,KR,desktop
u_000023,2025-02-25 00:00:00,JP,desktop
u_000024,2025-02-16 00:00:00,US,mobile
u_000025,2025-02-08 00:00:00,IN,desktop
u_000026,2025-01-25 00:00:00,KR,mobile
u_000027,2025-02-19 00:00:00,MX,desktop
u_000028,2025-02-02 00:00:00,JP,mobile
u_000029,2025-01-27 00:00:00,GB,mobile
u_000030,2025-01-28 00:00:00,JP,desktop
u_000031,2025-01-14 00:00:00,BR,mobile
u_000032,2025-01-06 00:00:00,US,desktop
u_000033,2025-02-03 00:00:00,KR,desktop
u_000034,2025-02-23 00:00:00,MX,desktop
u_000035,2025-01-04 00:00:00,FR,mobile
u_000036,2025-02-21 00:00:00,JP,web
u_000037,2025-02-19 00:00:00,US,desktop
u_000038,2025-01-17 00:00:00,MX,mobile
u_000039,2025-02-07 00:00:00,IN,mobile
u_000040,2025-01-10 00:00:00,DE,desktop
u_000041,2025-02-15 00:00:00,FR,mobile
u_000042,2025-02-12 00:00:00,CA,mobile
u_000043,2025-01-22 00:00:00,CA,web
u_000044,2025-01-05 00:00:00,DE,web
u_000045,2025-02-28 00:00:00,MX,desktop
u_000046,2025-01-27 00:00:00,IN,desktop
u_000047,2025-02-23 00:00:00,JP,mobile
u_000048,2025-02-10 00:00:00,CA,desktop
u_000049,2025-02-16 00:00:00,KR,desktop
u_000050,2025-02-15 00:00:00,BR,web
u_000051,2025-01-12 00:00:00,GB,desktop
u_000052,2025-01-22 00:00:00,GB,mobile
u_000053,2025-01-29 00:00:00,MX,mobile
u_000054,2025-01-30 00:00:00,CA,desktop
u_000055,2025-01-03 00:00:00,GB,mobile
u_000056,2025-02-02 00:00:00,CA,web
u_000057,2025-01-10 00:00:00,CA,mobile
u_000058,2025-02-14 00:00:00,GB,desktop
u_000059,2025-02-10 00:00:00,IN,desktop
u_000060,2025-02-25 00:00:00,FR,web
u_000061,2025-02-14 00:00:00,JP,desktop
u_000062,2025-01-22 00:00:00,BR,mobile
u_000063,2025-02-28 00:00:00,CA,desktop
u_000064,2025-01-25 00:00:00,JP,desktop
u_000065,2025-01-20 00:00:00,JP,web
u_000066,2025-02-24 00:00:00,CA,mobile
u_000067,2025-01-23 00:00:00,MX,web
u_000068,2025-01-05 00:00:00,GB,desktop
u_000069,2025-01-29 00:00:00,IN,mobile
u_000070,2025-02-17 00:00:00,BR,mobile
u_000071,2025-01-12 00:00:00,KR,desktop
u_000072,2025-01-28 00:00:00,IN,desktop
u_000073,2025-01-08 00:00:00,GB,mobile
u_000074,2025-02-11 00:00:00,KR,desktop
u_000075,2025-01-29 00:00:00,IN,mobile
u_000076,2025-01-20 00:00:00,IN,web
